Unidade da Federação;Quantidade_existente;;
Rondônia;5142;;
Acre;1602;;
Amazonas;6650;;
Roraima;1529;;
Pará;15289;;
Amapá;1591;;
Tocantins;3418;;
Maranhão;15244;;
Piauí;7303;;
Ceará;20481;;
Rio Grande do Norte;7840;;
Paraíba;9795;;
Pernambuco;23139;;
Alagoas;6796;;
Sergipe;3622;;
Bahia;31169;;
Minas Gerais;44192;;
Espírito Santo;9034;;
Rio de Janeiro;34972;;
São Paulo;95798;;
Paraná;27384;;
Catarina;16289;;
Rio Grande do Sul;29900;;
Mato Grosso do Sul;5932;;
Mato Grosso;7851;;
Goiás;18160;;
Distrito Federal;8083;;
