BRASIL E UNIDADES DA FEDERAÇÃO;POPULAÇÃO ESTIMADA
Rondônia;1751950
Acre;884372
Amazonas;4321616
Roraima;738772
Pará;8711196
Amapá;806517
Tocantins;1586859
Maranhão;7018211
Piauí;3384547
Ceará;9268836
Rio Grande do Norte;3455236
Paraíba;4164468
Pernambuco;9562007
Alagoas;3220848
Sergipe;2299425
Bahia;14870907
Minas Gerais;21393441
Espírito Santo;4126854
Rio de Janeiro;17223547
São Paulo;46081801
Paraná;11890517
Santa Catarina;8187029
Rio Grande do Sul;11233263
Mato Grosso do Sul;2924631
Mato Grosso;3893659
Goiás;7423629
Distrito Federal;2996899
